ID	Length	String
STR_SETTING11	10	剑心插件集
STR_CLOSE_ALWAY	4	常用
STR_SETTING132	4	团队
STR_HELPER_MENT	4	活动
STR_SETTING166	6	资料库
STR_SETTING29	9	目标/焦点
STR_SETTING133	8	目标辅助
STR_SETTING9	8	技能增强
STR_SETTING182	8	BUFF增强
STR_SETTING58	8	喊话辅助
STR_SETTING41	8	实用工具
STR_SETTING2	12	团队标记列表
STR_SETTING134	12	团队技能监控
STR_SETTING146	12	团队其他功能
STR_SETTING42	13	帮会通知/群密
STR_SETTING295	8	帮会宣战
STR_SETTING197	8	绝境战场
STR_SETTING276	8	列星虚境
STR_SETTING224	8	连斩提示
STR_SETTING290	20	选择不生效的地图类型
STR_SETTING198	10	资料站索引
STR_SETTING167	8	任务查询
STR_SETTING254	10	美人图日历
STR_SETTING253	12	门派技能手册
STR_SETTING47	12	附近人数统计
STR_SETTING50	8	预警设置
STR_SETTING19	66	目标/焦点列表可同步或焦点附近敌我目标/NPC,并能显示具体的人数统计。
STR_SETTING5	17	启用目标/焦点列表
STR_SETTING115	16	显示底部人数统计
STR_SETTING8	12	焦点设置选项
STR_SETTING114	12	目标设置选项
STR_ALIGNMENT_TITLE	4	阵营
STR_MENPAI_TITLE	4	门派
STR_FBLIST_BANGHUI	4	帮会
STR_MARKET_HISTORYNAME	4	查看
STR_SETTING54	26	发布统计数据于当前聊天频道
STR_SETTING49	8	发布统计
STR_SETTING51	18	出现敌对侠士时预警
STR_SETTING52	10	并设为目标
STR_SETTING53	22	小地图显示敌对侠士标记
STR_SETTING124	26	目标重新进入视野时自动选择
STR_SETTING135	12	目标方向指引
STR_SETTING227	8	目标连线
STR_GM_BUGOTHER	4	其他
STR_SETTING136	37	启用目标方向指引（可Shift+U调整位置）
STR_SETTING153	12	计算平面距离
STR_SETTING164	84	勾选则根据自身面向计算（旧方案），取消勾选则根据目标在当前镜头偏移位置计算（新方案）
STR_SETTING163	20	根据自身面向计算方向
STR_SETTING155	12	指引箭头配置
STR_SETTING156	12	距离字体配置
STR_SETTING137	20	目标头像显示距离信息
STR_SETTING154	26	目标脚下显示目标的目标名字
STR_SETTING122	12	选择字体样式
STR_SETTING241	17	自身&目标高度标线
STR_SETTING231	12	选择显示方式
STR_SETTING228	14	我与目标间连线
STR_SETTING229	22	目标与目标的目标间连线
STR_TANSPARENT	6	透明度
STR_PS_BRIGHTNESS	4	亮度
STR_SETTING230	4	粗细
STR_SETTING15	12	技能范围辅助
STR_SETTING31	32	※相关改动将在下次技能释放时生效
STR_SETTING179	12	技能释放方式
STR_SETTING32	8	其他辅助
STR_SETTING12	16	显示纯阳气场范围
STR_SETTING33	16	技能名称相关设置
STR_SETTING13	16	显示唐门机关范围
STR_SETTING22	16	显示长歌音域范围
STR_SETTING34	10	设置透明度
STR_SETTING35	8	显示上限
STR_SETTING37	24	绘制辅助范围时只绘制边缘
STR_SETTING38	10	只显示边缘
STR_SETTING40	28	显示气场/音域/机关等技能名字
STR_SETTING349	20	打开技能名称配置面板
STR_SETTING23	42	苍云技能“扬旌沙场”（决斗）时，会锁定对方
STR_SETTING14	26	扬旌沙场（决斗）时锁定对方
STR_SETTING158	40	长歌影子&唐门飞星&无相伶影技能栏显示距离
STR_SETTING232	30	蓬莱技能栏显示[浮游天地]冷却CD
STR_SETTING180	8	启用功能
STR_SETTING239	5	方案1
STR_SETTING240	5	方案2
STR_SETTING194	20	额外可拖动内力显示条
STR_SETTING234	164	不在战斗状态且当前的能量值为空(部分门派是能量值为满)时会自动隐藏官方可拖动的门派能量条和剑心额外内力条。\n精简界面防止遮挡视野，功能不一定适合所有门派，请按需选择。
STR_SETTING233	30	未进战时隐藏门派能量条和内力条
STR_SETTING275	48	只有效果性能设置内的自身特效选择中等及以上才有效
STR_SETTING274	28	纯阳自己的生太极显示特殊偏色
STR_SETTING186	953	<text>text="提示：\n" font=217 </text><text>text="该功能仅对目标点范围技生效；释放技能时，如果技能在下方列表内且为启用状态，则优先采用插件自定义的方式施展，否则按照侠士在官方设置内选择的方式施展。侠士可通过设置快捷键更加方便的切换方案。\n提醒：部分技能在激活奇穴后ID会改变，新的技能ID也要添加到设置列表内才会生效。\n"</text><text>text="目标位置：\n" font=65 </text><text>text="若目标存在且符合技能施展条件，则在目标位置施展，否则转化为传统模式。\n"</text><text>text="鼠标位置：\n" font=65 </text><text>text="点击技能后立刻在鼠标当前位置施展技能。\n"</text><text>text="传统模式：\n" font=65 </text><text>text="点击技能后拖动鼠标选择技能施展位置，左键确认后立即施展技能。\n"</text><text>text="自身脚下：\n" font=65 </text><text>text="点击技能后直接在当前自身坐标处施展技能。\n"</text><text>text="鼠标射线：\n" font=65 </text><text>text="点击技能后立刻在鼠标当前位置施展技能，若位置超过技能释放最大范围，则取角色到鼠标间的连线的最远可释放位置释放。"</text>
STR_SETTING125	12	BUFF效果增强
STR_SETTING191	12	BUFF时间增强
STR_SETTING270	14	自定义BUFF提示
STR_SETTING297	10	BUFF显示栏
STR_SETTING119	20	重要BUFF效果显示提示
STR_SETTING193	16	显示精简BUFF名称
STR_SETTING120	12	设置显示部位
STR_SETTING121	12	设置显示分类
STR_SETTING123	8	显示位置
STR_SETTING131	98	低：效果在0%以上就显示；\n中：效果达到10%及以上才会显示（推荐）；\n高：效果达到30%及以上才会显示。
STR_SETTING130	8	显示级别
STR_SETTING152	16	>>设置BUFF大小<<
STR_SETTING189	20	增强BUFF时间显示效果
STR_SETTING190	24	BUFF时间最后10秒显示小数
STR_SETTING192	24	仅对有重要效果的BUFF生效
STR_SETTING126	47	※请通过Shift+U调整增减益BUFF界面位置来避免遮挡
STR_SETTING271	80	1、需开启上方的BUFF效果增强功能\n2、如果和默认数据冲突的话，以当前自定义数据为准
STR_SETTING296	26	启用鼠标穿透（可设快捷键）
STR_SETTING59	8	技能喊话
STR_SETTING60	8	斩伤喊话
STR_SETTING66	12	技能喊话频道
STR_SETTING83	12	斩伤喊话频道
STR_SETTING84	12	被伤喊话频道
STR_SETTING86	42	斩伤统计：（包括击伤/协伤/被伤的数据统计）
STR_SETTING87	12	统计发布频道
STR_SETTING88	30	※从登录或手动重置后开始统计。
STR_SETTING97	33	※当日统计结果，每日早上7点重置。
STR_SETTING90	8	其他喊话
STR_SETTING245	8	喊话屏蔽
STR_SETTING72	12	技能喊话设置
STR_SETTING73	12	斩伤喊话设置
STR_TITLE_HAIR	4	发布
STR_SETTING292	48	为避免与官方信息冲突，帮战期间被伤喊话不会生效。
STR_SETTING89	16	重置单次统计结果
STR_SETTING95	8	单次统计
STR_SETTING96	8	当日统计
STR_SETTING99	12	其他喊话设置
STR_SETTING129	12	统计类型设置
STR_SETTING246	20	启用过滤剑心喊话功能
STR_SETTING248	14	选择过滤的频道
STR_SETTING249	14	过滤喊话的类型
STR_SETTING250	14	过滤白名单地图
STR_SETTING247	16	不过滤自己的喊话
STR_SETTING74	10	实用小功能
STR_SETTING76	34	对立阵营进入小队或团队，会喊话提醒
STR_SETTING75	16	对立阵营进组提醒
