"Index","Name","Template","Mesh","PosX","PosY","PosZ"
"3349","hqm_浩气坛入口001_002_HD","npc.json","data\source\maps_source\建筑\jz_z破庙殿001_hd.mesh","108801.90625","2834.345703","168251.828125"
"3654","hqm_浩气坛入口001_002_HD","npc.json","data\source\maps_source\建筑\jz_z破庙殿001_hd.mesh","152638.90625","7170.830078","188579.40625"
"3258","hqm_浩气坛入口001_002_HD","npc.json","data\source\maps_source\建筑\jz_z破庙殿001_hd.mesh","112632.023437","3102.570312","188713.09375"
"1972","WJ_dxc木箱001_007_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_007_hd.mesh","89929.992187","3511.039062","169448.578125"
"4850","WJ_dxc木箱001_007_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_007_hd.mesh","156816.25","5441.078125","182494.921875"
"4750","WJ_dxc木箱001_007_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_007_hd.mesh","159746.8125","3928.601562","174961.984375"
"4857","WJ_dxc木箱001_007_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_007_hd.mesh","170124.65625","4282.203125","176622.921875"
"4611","WJ_dxc木箱001_011_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_011_hd.mesh","159074.6875","3940.546875","175584.796875"
"1977","WJ_dxc木箱001_011_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_011_hd.mesh","89281.242187","3565.007812","169230.40625"
"4551","WJ_dxc木箱001_011_HD","npc.json","data\source\maps_source\小物件\木箱\wj_dxc木箱001_011_hd.mesh","191037.1875","8300.46875","105347.34375"
"388","WJ_erg柜子001.Mesh","npc.json","data\source\maps_source\小物件\室内\wj_erg柜子001_hd.mesh","20329.019531","923.038085","36603.152343"
"671","WJ_erg柜子002.Mesh","npc.json","data\source\maps_source\小物件\室内\wj_erg柜子002_hd.mesh","19039.054687","922.146972","36789.347656"
