"Index","Nickname","TemplateID","Position","Kind"
"0","longmenwaguan2","6859","71421.578125,795.129395,134439.984375","0"
"1","longmenwaguan3","6859","76539.296875,1403.915405,123641.929688","0"
"2","longmenwaguan4","6859","83819.570313,4199.434082,101740.781250","0"
"3","longmenshashi1","6859","116064.859375,2133.755371,91625.437500","0"
"4","","6857","112640.906250,1503.686523,87274.289063","0"
"5","longmenshashi2","6860","113284.875000,1215.682983,76591.812500","0"
"6","longmenwaguan5","6857","80003.359375,2735.833740,78834.140625","0"
"7","","6859","47247.414063,1816.534424,70124.578125","0"
"8","longmenguanmu1","6860","46010.355469,1691.952515,67239.906250","0"
"9","longmenwaguan6","6858","88651.023438,1181.689453,40689.214844","0"
"10","longmenshashi3","6859","93012.789063,1048.629761,33692.472656","0"
"11","longmenwaguan7","6857","164951.281250,7183.282227,58292.406250","0"
"12","longmenwaguan8","6859","164867.109375,7277.326172,60466.675781","0"
"13","longmenshashi4","6859","181972.968750,12178.011719,77650.375000","0"
"14","longmenshashi5","6857","181084.234375,12204.296875,78113.742188","0"
"15","longmenwaguan9","6857","187588.937500,14558.197266,83441.562500","0"
"16","longmenshashi6","6859","182323.187500,6384.862305,92584.671875","0"
"17","longmenwaguan10","6857","194756.375000,14998.373047,65931.031250","0"
"18","longmenguanmu2","6859","192090.875000,15850.982422,38248.566406","0"
"19","longmenwaguan11","6858","193416.796875,15284.372070,27728.787109","0"
"20","longmenwaguan12","6859","186581.343750,13220.705078,29795.541016","0"
"21","longmenguanmu3","6859","189291.875000,11719.813477,23595.126953","0"
"22","longmenguanmu4","6858","178009.546875,9857.873047,30361.128906","0"
"23","longmenguanmu5","6858","178653.937500,9937.719727,30497.904297","0"
"24","longmenshashi7","6858","178437.078125,9944.298828,29872.162109","0"
"25","longmenwaguan13","6857","196840.031250,2277.404785,7734.645996","0"
"26","","6859","195880.000000,2249.084473,6752.276367","0"
"27","longmenwaguan14","6860","191054.609375,2650.598145,8633.185547","0"
"28","longmenguanmu6","6859","192975.875000,2283.541992,7606.914551","0"
"29","longmenshashi8","6858","197560.109375,2353.982422,7452.935059","0"
"30","longmenwaguan15","6857","177219.062500,7309.248535,7477.712402","0"
"31","longmenwaguan16","6859","180301.437500,7112.582520,5369.769531","0"
"32","longmenwaguan17","6859","183721.906250,5570.260742,4017.420898","0"
"33","longmenwaguan18","6859","183498.796875,5567.857422,1991.336670","0"
"34","longmenshashi9","6859","178596.625000,6207.354492,3055.593994","0"
"35","longmenshashi10","6857","173736.671875,7047.257813,5063.858887","0"
"36","longmenshashi11","6857","171404.578125,6404.824219,8859.980469","0"
"37","longmenwaguan19","6857","160094.000000,3099.412598,14698.266602","0"
"38","longmenwaguan20","6859","159359.031250,3262.992920,6611.854492","0"
"39","longmenguanmu7","6859","150830.765625,1016.510010,10979.341797","0"
"40","longmenguanmu8","6858","152409.125000,961.065674,9872.732422","0"
"41","longmenguanmu9","6858","153776.718750,970.986938,9400.675781","0"
"42","longmenguanmu10","6858","153637.156250,1141.439819,10338.970703","0"
"43","longmenguanmu11","6858","154007.375000,972.113037,9733.667969","0"
"44","","6858","154587.906250,932.363892,10014.468750","0"
"45","longmenwaguan21","6860","140859.562500,1607.531738,11908.533203","0"
"46","","6859","136283.343750,1712.600708,13206.152344","0"
"47","longmenshashi12","6860","133529.640625,2959.030273,15106.585938","0"
"48","longmenwaguan22","6857","132488.390625,5377.184570,18294.298828","0"
"49","longmenwaguan23","6859","144566.156250,2220.553711,19006.626953","0"
