"Index","Name","Template","Mesh","PosX","PosY","PosZ"
"0","S_西北枯树001_001.Mesh","npc.json","data\source\maps_source\树\s_西北枯树001_001_hd.mesh","-15222.203125","3065.18164","40370.4375"
"1","S_xb多枝枯树003_005.Mesh","speedtree.json","Data\source\maps_source\树\S_xb多枝枯树003_005.srt","-1599.648437","4674.969726","92888.289062"
"2","ST_mj石拱003.Mesh","npc.json","data\source\maps_source\门派\明教\st_mj石拱003_hd.mesh","-21260.953125","3251.537109","71006.367187"
"3","ST_mj戈壁碎石003_001.Mesh","npc.json","data\source\maps_source\门派\明教\st_mj戈壁碎石003_001_hd.mesh","-1032.835937","4165.21289","94833.25"
"4","S_xb多枝枯树003_001.Mesh","speedtree.json","Data\source\maps_source\树\S_xb多枝枯树003_001.srt","-715.84375","4560.46289","94206.195312"
"5","JZ_xb楼兰哨台001_004.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰哨台001_004_hd.mesh","2114.03125","4473.108398","-3481.65625"
"6","XWJ_ca柜子003_003.Mesh","npc.json","data\source\maps_source\小物件\室内\xwj_ca柜子003_003_hd.mesh","18653.085937","644.021484","11962.4375"
"7","JZ_xb楼兰三间房001_003.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰三间房001_003_hd.mesh","15007.257812","238.158203","26517.046875"
"8","wj_圆木桶堆001.Mesh","npc.json","data\source\maps_source\小物件\木箱\wj_圆木桶堆001_hd.mesh","18174.226562","607.228027","28209.71875"
"9","WJ_龙门木箱001.Mesh","npc.json","data\source\maps_source\小物件\木箱\wj_龙门木箱001_hd.mesh","38116.5","792.69873","18360.109375"
"10","WJ_灯001.Mesh","npc.json","data\source\maps_source\小物件\灯\wj_灯001_hd.mesh","38261.078125","1151.779296","16476.578125"
"11","XWJ_火盆002_001.Mesh","npc.json","data\source\maps_source\小物件\灯\xwj_火盆002_001_hd.mesh","26435.855468","625.568359","25599.210937"
"12","WJ_木箱001.Mesh","npc.json","data\source\maps_source\小物件\木箱\wj_木箱001_hd.mesh","19264.953125","921.916015","35705.351562"
"13","S_xb多枝枯树003_007.Mesh","speedtree.json","Data\source\maps_source\树\S_xb多枝枯树003_007.srt","26143.804687","583.780273","23647.734375"
"14","S_xb多枝枯树003_003.Mesh","speedtree.json","Data\source\maps_source\树\S_xb多枝枯树003_003.srt","32609.859375","690.134765","17329.59375"
"15","wj_通用坛罐001_004_HD","npc.json","data\source\maps_source\小物件\坛罐\wj_通用坛罐001_004_hd.mesh","37619.535156","940.982421","37456.453125"
"16","JZ_xb楼兰三间房001_003.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰三间房001_003_hd.mesh","16329.382812","838.085449","34499.917968"
"17","JZ_xb楼兰哨台001_001.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰哨台001_001_hd.mesh","23293.183593","578.844726","9639.03125"
"18","WJ_龙门大缸001.Mesh","npc.json","data\source\maps_source\小物件\坛罐\wj_龙门大缸001_hd.mesh","16664.484375","707.126953","11977.148437"
"19","CQ_玉门关城墙001_008.Mesh","npc.json","data\source\maps_source\城墙\cq_玉门关城墙001_008_hd.mesh","40491.992187","750.271484","30277.617187"
"20","S_西北枯树001_002.Mesh","speedtree.json","Data\source\maps_source\树\S_西北枯树001_002.srt","28962.085937","1426.453125","24727.71875"
"21","XWJ_人俑灯001.Mesh","npc.json","data\source\maps_source\小物件\室内\xwj_人俑灯001_hd.mesh","18358.875","644.506347","12333.28125"
"22","WJ_坛子001_003.Mesh","npc.json","data\source\maps_source\小物件\坛罐\wj_坛子001_003_hd.mesh","33300.1875","1013.386718","39066.007812"
"23","CQ_玉门关城墙001_003.Mesh","npc.json","data\source\maps_source\城墙\cq_玉门关城墙001_003_hd.mesh","40409.667968","39.811523","28826.789062"
"24","WJ_sn茅草房001_006.Mesh","npc.json","data\source\maps_source\小物件\室内\wj_sn茅草房001_006_hd.mesh","31902.210937","939.472656","41876.125"
"25","WJ_沙包009_01.Mesh","npc.json","data\source\maps_source\小物件\生活品\wj_沙包009_01_hd.mesh","15010.375","726.42871","14632.359375"
"26","JZ_xb楼兰哨台001_002.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰哨台001_002_hd.mesh","21550.070312","973.266113","46576.679687"
"27","XWJ_人俑灯001.Mesh","npc.json","data\source\maps_source\小物件\室内\xwj_人俑灯001_hd.mesh","18062.296875","644.506347","13482.820312"
"28","WJ_酒坛006_001.Mesh","npc.json","data\source\maps_source\小物件\坛罐\wj_酒坛006_001_hd.mesh","23799.0","866.768554","36622.265625"
"29","XWJ_农家物件004_002.Mesh","npc.json","data\source\maps_source\小物件\生活品\xwj_农家物件004_002_hd.mesh","14955.15625","1126.367187","13637.328125"
"30","XWJ_火盆002_001.Mesh","npc.json","data\source\maps_source\小物件\灯\xwj_火盆002_001_hd.mesh","32136.574218","915.140625","41355.976562"
"31","WJ_木桌005_002.Mesh","npc.json","data\source\maps_source\小物件\桌凳\wj_木桌005_002_hd.mesh","34150.179687","632.673828","23263.53125"
"32","PJ_玉门草棚001.Mesh","npc.json","data\source\maps_source\建筑配套\pj_玉门草棚001_hd.mesh","26529.605468","898.746093","33927.179687"
"33","XWJ_农家物件003_002.Mesh","npc.json","data\source\maps_source\小物件\生活品\xwj_农家物件003_002_hd.mesh","33820.9375","1088.905273","24198.9375"
"34","WJ_erg笔架002.Mesh","npc.json","data\source\maps_source\小物件\室内\wj_erg笔架002_hd.mesh","31442.296875","1035.175781","44222.96875"
"35","JZ_xb楼兰三间房001_001.Mesh","npc.json","data\source\maps_source\建筑\jz_xb楼兰三间房001_001_hd.mesh","31229.378906","687.014648","14913.28125"
