"Index","Nickname","TemplateID","Position"
"0","level1_1","58817","195662.859375,2272.666992,6694.051270"
"1","level1_2","58817","196353.671875,2557.061768,5403.927734"
"2","level1_3","58817","197090.515625,2472.474609,4910.179199"
"3","level1_4","58817","196972.765625,2498.940918,8697.076172"
"4","level1_5","58817","194771.781250,2338.083008,6105.521484"
"5","level1_6","58817","194471.640625,2299.095215,6037.747070"
"6","level1_7","58817","192413.437500,2666.487061,8817.095703"
"7","level1_8","58817","191729.796875,2362.533691,7951.979004"
"8","level1_9","58817","193556.859375,2280.117676,7452.609375"
"9","level1_10","58817","198518.187500,2597.131348,5143.825684"
"10","level1_11","58817","197568.750000,2544.665527,4029.473145"
"11","level3_1","58819","196971.421875,2441.482422,8347.387695"
"12","level3_2","58819","192677.703125,2283.149658,7732.042480"
"13","level2_1","58818","196630.437500,2826.690674,9810.101563"
"14","level2_2","58818","196801.000000,2299.519287,6498.685547"
"15","level2_3","58818","191772.453125,2315.223633,7485.507324"
"16","level2_4","58818","199735.078125,4267.588867,9148.115234"
"17","level1_12","58817","184436.500000,7064.234375,1801.217285"
"18","level1_13","58817","178663.625000,7437.113281,3133.393799"
"19","level1_14","58817","178495.531250,6213.448242,3228.056396"
"20","level2_5","58818","181142.859375,5893.583008,3048.548584"
"21","level2_6","58818","183340.421875,5567.857422,4104.558594"
"22","level3_3","58819","183233.187500,5567.857422,3799.137939"
"23","level1_15","58817","185116.015625,5567.857422,2126.734131"
"24","level1_16","58817","182821.906250,5567.857422,1989.397949"
"25","level4_1","58820","184883.281250,5570.261230,4024.689941"
"26","level3_4","58819","176044.312500,7279.604980,7347.593750"
"27","level1_17","58817","180659.765625,7017.004395,4677.540039"
"28","level1_18","58817","165909.703125,4285.467773,6871.343750"
"29","level2_7","58818","165623.437500,4285.467773,6520.733398"
"30","level4_2","58820","164993.406250,4286.468750,5623.055176"
"31","level1_19","58817","164805.218750,4287.683105,5026.698242"
"32","level1_20","58817","161283.609375,548.583984,12653.017578"
"33","level1_21","58817","158486.546875,3262.468018,6695.334473"
"34","level1_22","58817","157558.656250,3262.468018,6528.462402"
"35","level1_23","58817","155694.609375,4008.467041,3442.652100"
"36","level1_24","58817","155999.281250,4009.468018,3474.946533"
"37","level2_8","58818","155948.625000,4008.467041,4008.177979"
