ID	Name	ResourcePath	UnderEditorTool
1	稻香村	data\source\maps\稻香村\稻香村.jsonmap	0
2	万花	data\source\maps\万花\万花.jsonmap	0
3	1024_蓝天白云	data\source\maps\1024_蓝天白云\1024_蓝天白云.jsonmap	0
5	少林	data\source\maps\少林\少林.jsonmap	0
6	扬州	data\source\maps\扬州\扬州.jsonmap	0
7	纯阳	data\source\maps\纯阳\纯阳.jsonmap	0
8	洛阳	data\source\maps\洛阳\洛阳.jsonmap	0
9	洛道	data\source\maps\洛道\洛道.jsonmap	0
10	寇岛	data\source\maps\寇岛\寇岛.jsonmap	0
11	天策	data\source\maps\天策\天策.jsonmap	0
12	枫华谷	data\source\maps\枫华谷\枫华谷.jsonmap	0
13	金水镇	data\source\maps\金水镇\金水镇.jsonmap	0
14	灵霄峡	data\source\maps\灵霄峡\灵霄峡.jsonmap	0
15	长安	data\source\maps\长安\长安.jsonmap	0
16	七秀	data\source\maps\七秀\七秀.jsonmap	0
17	天工坊	data\source\maps\天工坊\天工坊.jsonmap	0
18	无盐岛	data\source\maps\无盐岛\无盐岛.jsonmap	0
19	空雾峰	data\source\maps\空雾峰\空雾峰.jsonmap	0
20	天地三才阵	data\source\maps\天地三才阵\天地三才阵.jsonmap	0
21	巴陵县	data\source\maps\巴陵县\巴陵县.jsonmap	0
22	南屏山	data\source\maps\南屏山\南屏山.jsonmap	0
23	龙门荒漠	data\source\maps\龙门荒漠\龙门荒漠.jsonmap	0
25	浩气盟	data\source\maps\浩气盟\浩气盟.jsonmap	0
26	荻花宫前山	data\source\maps\荻花宫前山\荻花宫前山.jsonmap	0
27	恶人谷	data\source\maps\恶人谷\恶人谷.jsonmap	0
28	日轮山城	data\source\maps\日轮山城\日轮山城.jsonmap	0
29	五十级云湖天池	data\source\maps\五十级云湖天池\五十级云湖天池.map	0
30	昆仑	data\source\maps\昆仑\昆仑.jsonmap	0
31	特殊光照地图1	data\source\maps\特殊光照地图1\特殊光照地图1.map	0
32	战宝迦兰	data\source\maps\战宝迦兰\战宝迦兰.jsonmap	0
33	天子峰	data\source\maps\天子峰\天子峰.jsonmap	0
34	风雨稻香村	data\source\maps\风雨稻香村\风雨稻香村.jsonmap	0
35	瞿塘峡	data\source\maps\瞿塘峡\瞿塘峡.jsonmap	0
36	英雄天地三才阵	data\source\maps\英雄天地三才阵\英雄天地三才阵.jsonmap	0
37	英雄天工坊	data\source\maps\英雄天工坊\英雄天工坊.jsonmap	0
38	神农洇	data\source\maps\神农洇\神农洇.jsonmap	0
39	四十级云湖天池	data\source\maps\四十级云湖天池\四十级云湖天池.map	0
40	英雄荻花宫前山	data\source\maps\英雄荻花宫前山\英雄荻花宫前山.jsonmap	0
41	英雄无盐岛	data\source\maps\英雄无盐岛\英雄无盐岛.jsonmap	0
42	英雄天子峰	data\source\maps\英雄天子峰\英雄天子峰.jsonmap	0
43	英雄空雾峰	data\source\maps\英雄空雾峰\英雄空雾峰.jsonmap	0
44	英雄日轮山城	data\source\maps\英雄日轮山城\英雄日轮山城.jsonmap	0
45	英雄灵霄峡	data\source\maps\英雄灵霄峡\英雄灵霄峡.jsonmap	0
46	英雄战宝迦兰	data\source\maps\英雄战宝迦兰\英雄战宝迦兰.jsonmap	0
47	英雄风雨稻香村	data\source\maps\英雄风雨稻香村\英雄风雨稻香村.jsonmap	0
48	珍珑棋谷	data\source\maps\珍珑棋谷\珍珑棋谷.jsonmap	0
49	藏剑山庄	data\source\maps\藏剑山庄\藏剑山庄.jsonmap	0
50	丝绸之路	data\source\maps\丝绸之路\丝绸之路.jsonmap	0
51	剑冢	data\source\maps\剑冢\剑冢.jsonmap	0
52	七十级云湖天池	data\source\maps\七十级云湖天池\七十级云湖天池.jsonmap	0
53	邀星坪_夜射天狼	data\source\maps\邀星坪_夜射天狼\邀星坪_夜射天狼.map	0
55	守株围场_打猎	data\source\maps\守株围场_打猎\守株围场_打猎.map	0
56	困龙岭_梅花桩	data\source\maps\困龙岭_梅花桩\困龙岭_梅花桩.map	0
57	陷空坳_宇文宝藏	data\source\maps\陷空坳_宇文宝藏\陷空坳_宇文宝藏.map	0
58	百草园	data\source\maps\百草园\百草园.map	0
60	持国天王殿	data\source\maps\持国天王殿\持国天王殿.jsonmap	0
61	宫中神武遗迹	data\source\maps\宫中神武遗迹\宫中神武遗迹.jsonmap	0
62	英雄剑冢	data\source\maps\英雄剑冢\英雄剑冢.jsonmap	0
63	英雄宫中神武遗迹	data\source\maps\英雄宫中神武遗迹\英雄宫中神武遗迹.jsonmap	0
64	25人普通宫中神武遗迹	data\source\maps\25人普通宫中神武遗迹\25人普通宫中神武遗迹.jsonmap	0
65	25人普通持国天王殿	data\source\maps\25人普通持国天王殿\25人普通持国天王殿.jsonmap	0
66	英雄持国天王殿	data\source\maps\英雄持国天王殿\英雄持国天王殿.jsonmap	0
67	荻花宫后山	data\source\maps\荻花宫后山\荻花宫后山.jsonmap	0
68	荻花圣殿	data\source\maps\荻花圣殿\荻花圣殿.jsonmap	0
69	10人英雄荻花圣殿	data\source\maps\10人英雄荻花圣殿\10人英雄荻花圣殿.jsonmap	0
70	25人普通荻花圣殿	data\source\maps\25人普通荻花圣殿\25人普通荻花圣殿.jsonmap	0
71	仙踪林	data\source\maps\仙踪林\仙踪林.jsonmap	0
